"","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","species_name","kingdom_txid","phylum_txid","class_txid","order_txid","family_txid","genus_txid","species_txid"
"s__Actinomyces_sp_ICM47","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_ICM47","2","201174","1760","2037","2049","1654","936548"
"s__Bacteroides_clarus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_clarus","2","976","200643","171549","815","816","626929"
"s__Streptococcus_vestibularis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_vestibularis","2","1239","91061","186826","1300","1301","1343"
"s__Clostridium_bolteae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_bolteae","2","1239","186801","186802","186803","1506553","208479"
"s__Pediococcus_pentosaceus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus","s__Pediococcus_pentosaceus","2","1239","91061","186826","33958","1253","1255"
"s__Streptococcus_mitis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_mitis","2","1239","91061","186826","1300","1301","28037"
"s__Veillonella_parvula","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_parvula","2","1239","909932","1843489","31977","29465","29466"
"s__Streptococcus_sanguinis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_sanguinis","2","1239","91061","186826","1300","1301","1305"
"s__Streptococcus_australis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_australis","2","1239","91061","186826","1300","1301","113107"
"s__Coprobacillus_cateniformis","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Coprobacillus","s__Coprobacillus_cateniformis","2","1239","526524","526525","128827","100883","100884"
"s__Clostridium_clostridioforme","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_clostridioforme","2","1239","186801","186802","186803","1506553","1531"
"s__Clostridium_sp_CAG_265","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_265","2","1239","186801","186802","31979","1485","1262787"
"s__Veillonella_atypica","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_atypica","2","1239","909932","1843489","31977","29465","39777"
"s__Parabacteroides_merdae","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae","2","976","200643","171549","2005525","375288","46503"
"s__Streptococcus_gordonii","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_gordonii","2","1239","91061","186826","1300","1301","1302"
"s__Fusobacterium_ulcerans","k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium","s__Fusobacterium_ulcerans","2","32066","203490","203491","203492","848","861"
"s__Streptococcus_virus_7201","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","s__Streptococcus_virus_7201","10239","","","28883","10699","1623304","112023"
"s__Streptococcus_oralis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_oralis","2","1239","91061","186826","1300","1301","1303"
"s__Eubacterium_sp_AF17_7","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Eubacteriaceae","g__Eubacterium","s__Eubacterium_sp_AF17_7","2","1239","186801","186802","186806","1730","2293105"
"s__Pediococcus_acidilactici","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus","s__Pediococcus_acidilactici","2","1239","91061","186826","33958","1253","1254"
"s__Blautia_producta","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Blautia","s__Blautia_producta","2","1239","186801","186802","186803","572511","33035"
"s__Enterococcus_avium","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","s__Enterococcus_avium","2","1239","91061","186826","81852","1350","33945"
"s__Actinomyces_graevenitzii","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_graevenitzii","2","201174","1760","2037","2049","1654","55565"
"s__Clostridium_spiroforme","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelatoclostridium","s__Clostridium_spiroforme","2","1239","526524","526525","128827","1505663","29348"
"s__Streptococcus_virus_phiAbc2","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sfi21dt1virus","s__Streptococcus_virus_phiAbc2","10239","","","28883","10699","1623304","633135"
"s__Actinomyces_massiliensis","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_massiliensis","2","201174","1760","2037","2049","1654","461393"
"s__Streptococcus_infantis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_infantis","2","1239","91061","186826","1300","1301","68892"
"s__Streptococcus_cristatus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_cristatus","2","1239","91061","186826","1300","1301","45634"
"s__Mogibacterium_diversum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_Family_XIII_Incertae_Sedis","g__Mogibacterium","s__Mogibacterium_diversum","2","1239","186801","186802","543314","86331","114527"
"s__Butyricicoccus_pullicaecorum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Butyricicoccus","s__Butyricicoccus_pullicaecorum","2","1239","186801","186802","31979","580596","501571"
"s__Clostridium_sp_CAG_217","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_217","2","1239","186801","186802","31979","1485","1262779"
"s__Collinsella_aerofaciens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_aerofaciens","2","201174","84998","84999","84107","102106","74426"
"s__Alistipes_finegoldii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_finegoldii","2","976","200643","171549","171550","239759","214856"
"s__Firmicutes_bacterium_CAG_176","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_176","2","1239","","","","","1263007"
"s__Methanobrevibacter_smithii","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","s__Methanobrevibacter_smithii","2157","28890","183925","2158","2159","2172","2173"
"s__Firmicutes_bacterium_CAG_124","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_124","2","1239","","","","","1263002"
"s__Eggerthella_sp_CAG_209","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","s__Eggerthella_sp_CAG_209","2","201174","84998","1643822","1643826","84111","1262875"
"s__Dorea_sp_CAG_317","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea","s__Dorea_sp_CAG_317","2","1239","186801","186802","186803","189330","1262873"
"s__Senegalimassilia_anaerobia","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Senegalimassilia","s__Senegalimassilia_anaerobia","2","201174","84998","84999","84107","1473205","1473216"
"s__Cloacibacillus_porcorum","k__Bacteria","p__Synergistetes","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__Cloacibacillus_porcorum","2","508458","649775","649776","649777","508459","1197717"
"s__Barnesiella_intestinihominis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella","s__Barnesiella_intestinihominis","2","976","200643","171549","2005519","397864","487174"
"s__Clostridium_sp_CAG_138","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_138","2","1239","186801","186802","31979","1485","1262775"
"s__Monoglobus_pectinilyticus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Monoglobus","s__Monoglobus_pectinilyticus","2","1239","186801","186802","","2039302","1981510"
"s__Odoribacter_laneus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Odoribacter","s__Odoribacter_laneus","2","976","200643","171549","1853231","283168","626933"
"s__Acidaminococcus_intestini","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","s__Acidaminococcus_intestini","2","1239","909932","1843488","909930","904","187327"
"s__Firmicutes_bacterium_CAG_129","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_129","2","1239","","","","","1263003"
"s__Oscillibacter_sp_CAG_241","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_sp_CAG_241","2","1239","186801","186802","216572","459786","1262911"
"s__Collinsella_tanakaei","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_tanakaei","2","201174","84998","84999","84107","102106","626935"
"s__Lachnospiraceae_bacterium_OF09_33XD","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_OF09_33XD","2","1239","186801","186802","186803","","2292273"
"s__Eggerthella_sp_CAG_298","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","s__Eggerthella_sp_CAG_298","2","201174","84998","1643822","1643826","84111","1262876"
"s__Clostridium_sp_CAG_75","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_75","2","1239","186801","186802","31979","1485","1262836"
"s__Erysipelotrichaceae_bacterium_3_1_53","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_unclassified","s__Erysipelotrichaceae_bacterium_3_1_53","2","1239","526524","526525","128827","","658659"
"s__Firmicutes_bacterium_CAG_137","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_137","2","1239","","","","","1263004"
"s__Phascolarctobacterium_succinatutens","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__Phascolarctobacterium_succinatutens","2","1239","909932","1843488","909930","33024","626940"
"s__Bacteroides_caccae","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_caccae","2","976","200643","171549","815","816","47678"
"s__Catabacter_hongkongensis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Catabacteriaceae","g__Catabacter","s__Catabacter_hongkongensis","2","1239","186801","186802","424536","270497","270498"
"s__Clostridium_sp_CAG_273","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_273","2","1239","186801","186802","31979","1485","1262789"
"s__Slackia_isoflavoniconvertens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Slackia","s__Slackia_isoflavoniconvertens","2","201174","84998","1643822","1643826","84108","572010"
"s__Lactococcus_phage_bIL310","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Lactococcus_phage_bIL310","10239","","","28883","10699","","151538"
"s__Desulfovibrio_piger","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__Desulfovibrio_piger","2","1224","28221","213115","194924","872","901"
"s__Coprobacter_fastidiosus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__Coprobacter_fastidiosus","2","976","200643","171549","2005519","1348911","1099853"
"s__Parabacteroides_johnsonii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_johnsonii","2","976","200643","171549","2005525","375288","387661"
"s__Lactococcus_phage_bIL285","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Siphoviridae_unclassified","s__Lactococcus_phage_bIL285","10239","","","28883","10699","","151535"
"s__Streptococcus_thermophilus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_thermophilus","2","1239","91061","186826","1300","1301","1308"
"s__Firmicutes_bacterium_CAG_110","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_110","2","1239","","","","","1263000"
"s__Mediterraneibacter_sp_KCTC_15684","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Mediterraneibacter","s__Mediterraneibacter_sp_KCTC_15684","2","1239","186801","186802","186803","2316020","2316025"
"s__Bacteroides_eggerthii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_eggerthii","2","976","200643","171549","815","816","28111"
"s__Azospirillum_sp_CAG_260","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Azospirillum","s__Azospirillum_sp_CAG_260","2","1224","28211","204441","41295","191","1262706"
"s__Ruminococcaceae_bacterium_D5","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_bacterium_D5","2","1239","186801","186802","541000","","1520815"
"s__Christensenella_minuta","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Christensenellaceae","g__Christensenella","s__Christensenella_minuta","2","1239","186801","186802","990719","990721","626937"
"s__Coprococcus_eutactus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Coprococcus","s__Coprococcus_eutactus","2","1239","186801","186802","186803","33042","33043"
"s__Clostridium_leptum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Clostridium_leptum","2","1239","186801","186802","541000","","1535"
"s__Harryflintia_acetispora","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Harryflintia","s__Harryflintia_acetispora","2","1239","186801","186802","541000","1892380","1849041"
"s__Clostridium_sp_CAG_58","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_58","2","1239","186801","186802","31979","1485","1262824"
"s__Dorea_sp_OM02_2LB","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Dorea","s__Dorea_sp_OM02_2LB","2","1239","186801","186802","186803","189330","2292347"
"s__Bacteroides_cellulosilyticus","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_cellulosilyticus","2","976","200643","171549","815","816","246787"
"s__Firmicutes_bacterium_CAG_95","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_95","2","1239","","","","","1262988"
"s__Intestinimonas_butyriciproducens","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_unclassified","g__Intestinimonas","s__Intestinimonas_butyriciproducens","2","1239","186801","186802","","1392389","1297617"
"s__Firmicutes_bacterium_CAG_321","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_321","2","1239","","","","","1263018"
"s__Eisenbergiella_tayi","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Eisenbergiella","s__Eisenbergiella_tayi","2","1239","186801","186802","186803","1432051","1432052"
"s__Butyricimonas_synergistica","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Odoribacteraceae","g__Butyricimonas","s__Butyricimonas_synergistica","2","976","200643","171549","1853231","574697","544644"
"s__Collinsella_stercoris","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__Collinsella_stercoris","2","201174","84998","84999","84107","102106","147206"
"s__Clostridium_scindens","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_scindens","2","1239","186801","186802","186803","1506553","29347"
"s__Clostridium_sp_CAG_411","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_411","2","1239","186801","186802","31979","1485","1262802"
"s__Firmicutes_bacterium_CAG_24053_14","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_24053_14","2","1239","","","","","1897032"
"s__Clostridium_sp_CAG_169","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_169","2","1239","186801","186802","31979","1485","1262778"
"s__Roseburia_sp_CAG_309","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_sp_CAG_309","2","1239","186801","186802","186803","841","1262945"
"s__Clostridiales_bacterium_S5_A14a","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiales_Family_XIII_Incertae_Sedis","g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified","s__Clostridiales_bacterium_S5_A14a","2","1239","186801","186802","543314","","1230734"
"s__Lactococcus_lactis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus","s__Lactococcus_lactis","2","1239","91061","186826","1300","1357","1358"
"s__Clostridium_methylpentosum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Clostridium_methylpentosum","2","1239","186801","186802","541000","","84026"
"s__Lactobacillus_ruminis","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_ruminis","2","1239","91061","186826","33958","1578","1623"
"s__Bifidobacterium_bifidum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_bifidum","2","201174","1760","85004","31953","1678","1681"
"s__Eubacterium_siraeum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Eubacterium_siraeum","2","1239","186801","186802","541000","","39492"
"s__Bacteroides_finegoldii","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_finegoldii","2","976","200643","171549","815","816","338188"
"s__Ruminococcaceae_bacterium_KLE1738","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcaceae_unclassified","s__Ruminococcaceae_bacterium_KLE1738","2","1239","186801","186802","541000","","2283482"
"s__Firmicutes_bacterium_CAG_114","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_114","2","1239","","","","","1263001"
"s__Proteobacteria_bacterium_CAG_139","k__Bacteria","p__Proteobacteria","c__Proteobacteria_unclassified","o__Proteobacteria_unclassified","f__Proteobacteria_unclassified","g__Proteobacteria_unclassified","s__Proteobacteria_bacterium_CAG_139","2","1224","","","","","1262986"
"s__Firmicutes_bacterium_CAG_424","k__Bacteria","p__Firmicutes","c__Firmicutes_unclassified","o__Firmicutes_unclassified","f__Firmicutes_unclassified","g__Firmicutes_unclassified","s__Firmicutes_bacterium_CAG_424","2","1239","","","","","1263022"
"s__Candidatus_Stoquefichus_sp_KLE1796","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Candidatus_Stoquefichus","s__Candidatus_Stoquefichus_sp_KLE1796","2","1239","526524","526525","128827","1470349","1574263"
"s__Dielma_fastidiosa","k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dielma","s__Dielma_fastidiosa","2","1239","526524","526525","128827","1472649","1034346"
"s__Anaerotruncus_colihominis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Anaerotruncus","s__Anaerotruncus_colihominis","2","1239","186801","186802","541000","244127","169435"
"s__Clostridium_sp_CAG_242","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__Clostridium_sp_CAG_242","2","1239","186801","186802","31979","1485","1262783"
"s__Lactococcus_phage_jm3","k__Viruses","p__Viruses_unclassified","c__Viruses_unclassified","o__Caudovirales","f__Siphoviridae","g__Sk1virus","s__Lactococcus_phage_jm3","10239","","","28883","10699","1623305","1262536"
"s__Clostridium_lavalense","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_lavalense","2","1239","186801","186802","186803","1506553","460384"
"s__Clostridium_symbiosum","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_symbiosum","2","1239","186801","186802","186803","1506553","1512"
"s__Haemophilus_parainfluenzae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","s__Haemophilus_parainfluenzae","2","1224","1236","135625","712","724","729"
"s__Veillonella_dispar","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_dispar","2","1239","909932","1843489","31977","29465","39778"
"s__Clostridium_citroniae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_citroniae","2","1239","186801","186802","186803","1506553","358743"
"s__Streptococcus_sp_A12","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_sp_A12","2","1239","91061","186826","1300","1301","1759399"
"s__Veillonella_infantium","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_infantium","2","1239","909932","1843489","31977","29465","1911679"
"s__Veillonella_rogosae","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Veillonella","s__Veillonella_rogosae","2","1239","909932","1843489","31977","29465","423477"
"s__Parasutterella_excrementihominis","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Parasutterella","s__Parasutterella_excrementihominis","2","1224","28216","80840","995019","577310","487175"
"s__Alistipes_timonensis","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_timonensis","2","976","200643","171549","171550","239759","1465754"
"s__Actinomyces_sp_oral_taxon_181","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__Actinomyces_sp_oral_taxon_181","2","201174","1760","2037","2049","1654","712121"
"s__Clostridium_aldenense","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Lachnoclostridium","s__Clostridium_aldenense","2","1239","186801","186802","186803","1506553","358742"
"s__Bifidobacterium_pseudolongum","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudolongum","2","201174","1760","85004","31953","1678","1694"
"s__Ruminococcus_bromii","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Ruminococcaceae","g__Ruminococcus","s__Ruminococcus_bromii","2","1239","186801","186802","541000","1263","40518"
"s__Dialister_invisus","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales","f__Veillonellaceae","g__Dialister","s__Dialister_invisus","2","1239","909932","1843489","31977","39948","218538"
"s__Prevotella_copri","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_copri","2","976","200643","171549","171552","838","165179"
"s__Enterorhabdus_caecimuris","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Enterorhabdus","s__Enterorhabdus_caecimuris","2","201174","84998","1643822","1643826","580024","671266"
"s__Eisenbergiella_massiliensis","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Eisenbergiella","s__Eisenbergiella_massiliensis","2","1239","186801","186802","186803","1432051","1720294"
"s__Gordonibacter_urolithinfaciens","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Gordonibacter","s__Gordonibacter_urolithinfaciens","2","201174","84998","1643822","1643826","644652","1335613"
